id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
5b792445-01ba-46fe-9d48-9e65eb561484,accessary.dentist,available,63.98,81.98,medium,low,9,namecheap,,,
d4aa22eb-6fb3-418c-ba54-9ac522215c8f,rake.dentist,available,65.99,65.99,high,low,4,namesilo,,,
d0849687-a01a-4b9e-8f56-bdfa46d420a7,hybrid.dentist,available,65.99,65.99,high,low,6,namesilo,,,
16475d57-57fb-42c6-a6f0-5d50eacd270c,jewish.dentist,premium,242,242,high,low,6,namesilo,,,22/09/2026 01:51
3fce352c-8e6d-48d5-9f69-fc72b146666c,monthly.dentist,available,65.99,65.99,high,low,7,namesilo,,,
3ca692dc-f163-4ac7-a1fc-684ebbb3b560,seedy.dentist,available,63.98,81.98,high,low,5,namecheap,,,
fcd95169-7828-401c-92cf-02dd5d5bb5f9,pressing.dentist,available,65.99,65.99,high,low,8,namesilo,,,
c343f916-3ca2-4c25-941e-46c0f72b5c10,inquisitive.dentist,available,76.99,,high,low,11,name.com,,,
5fdabded-ff47-4e0e-a3dd-8142a872042a,formalize.dentist,available,65.99,65.99,high,low,9,namesilo,,,
27d3c99a-490e-4336-a0d8-9de2a67c97be,abashed.dentist,available,63.98,81.98,medium,low,7,namecheap,,,
117b43d6-3f8d-4d0b-a6fb-479e15b31c5a,laughter.dentist,available,65.99,65.99,high,low,8,namesilo,,,
a3ca0438-4de4-40fc-b0cd-3992d9983f12,therefore.dentist,available,76.99,,high,low,9,name.com,,,
5b193968-5ada-4bb8-a0f6-39e9fb3fce87,ballroom.dentist,available,65.99,65.99,high,low,8,namesilo,,,
0d1b0e96-6afc-429e-8f14-a83a214e6521,beating.dentist,available,65.99,65.99,high,low,7,namesilo,,,
b0bc5045-7e66-4476-871f-863175272747,unplug.dentist,available,65.99,65.99,high,low,6,namesilo,,,
05b1a74e-e53f-4c6a-801d-25477acc72dd,acentric.dentist,available,63.98,81.98,medium,low,8,namecheap,,,
ad2d0721-99b3-4064-8630-8e948f624c5c,bossy.dentist,available,63.98,81.98,high,low,5,namecheap,,,07/08/2026 19:35
29a5af45-a2de-4d38-913d-63bca552c81a,widowed.dentist,available,65.99,65.99,medium,low,7,namesilo,,,
bc75882b-6e84-48f8-9fab-795cd3d79980,roi.dentist,premium,118.8,118.8,high,low,3,namesilo,,,
585d8084-1822-4cfa-bf3b-43ce501d70f6,than.dentist,available,76.99,,high,low,4,name.com,,,
de48b293-c746-47cb-a5a5-3627833f76b6,jolt.dentist,available,65.99,65.99,high,low,4,namesilo,,,
ea1c4752-f013-4b2e-aac0-fc66ed36ed02,song.dentist,available,65.99,65.99,high,low,4,namesilo,,,
aa40a817-d4e8-4ddd-bd3a-45fc0fa6b2e5,contest.dentist,available,65.99,65.99,high,low,7,namesilo,,,
20049045-5986-42b4-9627-4fbf34b9df51,aggregate.dentist,available,63.98,81.98,high,low,9,namecheap,,,
7a4a43a9-dd87-42c6-822f-24945ae6a8db,club.dentist,premium,242,242,high,low,4,namesilo,,,
d31017b6-bec0-470d-941c-b9ee492c32e8,whip.dentist,available,65.99,65.99,high,low,4,namesilo,,,
faf47b0b-a8d8-4dfe-a562-63587e4bc368,except.dentist,available,65.99,65.99,high,low,6,namesilo,,,
99d8f7b1-a7d0-4a92-8ffc-f0184926cd13,revelation.dentist,available,76.99,,high,low,10,name.com,,,
a18699bb-18df-48cf-be56-39e9e166b382,dickhead.dentist,available,63.98,81.98,medium,low,8,namecheap,,,08/08/2026 23:34
c065c55f-736f-4f12-bfb8-8a1dadbf3636,oxford.dentist,premium,500,,high,low,6,name.com,,,
d56d7217-997f-437d-ab69-6870b68b7f19,rejection.dentist,available,65.99,65.99,high,low,9,namesilo,,,
6f605102-f6c2-4e65-b372-8f5e999e5498,plaguey.dentist,available,63.98,81.98,medium,low,7,namecheap,,,
a1c2cec3-1551-4979-b048-0d929688cb6a,divers.dentist,available,65.99,65.99,high,low,6,namesilo,,,
6e645083-fdda-48a7-b5e8-eb4c6adebffe,wannabee.dentist,available,63.98,81.98,medium,low,8,namecheap,,,07/08/2026 05:22
6ac3288f-fe3a-49e0-99a9-8b69a2e8b287,clay.dentist,premium,242,242,high,low,4,namesilo,,,
aea164e4-7aea-4932-beef-ead90c488a91,azotic.dentist,available,63.98,81.98,medium,low,6,namecheap,,,08/08/2026 02:53
c5497517-078e-4821-a0fd-79036855a3bd,scrubbed.dentist,available,65.99,65.99,high,low,8,namesilo,,,
530963e7-9d91-44b7-b0b7-e5706ad22c47,fame.dentist,available,65.99,65.99,high,low,4,namesilo,,,
d983f8cc-0392-4c64-87a4-022022397fea,affect.dentist,available,65.99,65.99,high,low,6,namesilo,,,
af2acd40-89bb-440f-8ae7-acfd845ceb85,feminism.dentist,available,65.99,65.99,high,low,8,namesilo,,,
990dde90-298b-4f01-8a08-f6ee3d7b90e4,mods.dentist,available,76.99,,high,low,4,name.com,,,
163b20b4-71dd-42ca-80c9-5065f754d9f1,ship.dentist,available,65.99,65.99,high,low,4,namesilo,,,
bbb98eba-1542-47c6-8653-0bd5dee333a9,stranger.dentist,available,76.99,,high,low,8,name.com,,,
0e356520-a507-4a30-965c-603137ad38a1,melancholy.dentist,available,65.99,65.99,high,low,10,namesilo,,,
5a7cf378-1a42-4611-b115-baf639dd9f19,garret.dentist,available,63.98,81.98,medium,low,6,namecheap,,,07/08/2026 15:51
d5539064-1350-4348-a270-cfcc1b2afb50,roger.dentist,premium,118.8,118.8,high,low,5,namesilo,,,
0e828bfd-86ba-48f4-a5e8-0510e7bfdd82,abaxial.dentist,available,63.98,81.98,medium,low,7,namecheap,,,
a972365e-4fc0-4f0d-823c-62e67424e065,seats.dentist,available,65.99,65.99,high,low,5,namesilo,,,
3f417ac2-1e9d-4192-8bb6-80b8f3c0b588,finally.dentist,available,65.99,65.99,high,low,7,namesilo,,,
3f4b5040-b2a0-48a9-ac9b-ed5d45171e20,invented.dentist,available,65.99,65.99,high,low,8,namesilo,,,
f0bd99ad-daf0-4053-846d-d961d3118f39,sales.dentist,premium,520,520,high,medium,5,namecheap,,,
0efd5e62-4a63-40fe-8f2d-92848fdc529a,anesthesia.dentist,premium,520,520,high,low,10,namecheap,,,
ac706527-3a57-48c4-b769-c69f1414eb53,vaccination.dentist,available,65.99,65.99,high,low,11,namesilo,,,
19878297-cf89-46b4-874b-1140081cc95c,town.dentist,premium,242,242,high,low,4,namesilo,,,
da7c73b9-3a10-48fe-abcf-2ed2023193a9,pronounce.dentist,available,65.99,65.99,high,low,9,namesilo,,,
